model,dataset,seed,alphabet,K,n_test,V_pos_mean,V_neg_mean,H_norm_both_mean,AURC_sq,AURC_report,delta,effective_bins,max_bin_mass,measurable
llama3_8b,truthfulqa,0,letter11,11,326,0.6564610473546023,0.6464962251621186,0.8940332551438348,0.4820651053049443,0.5043109677210341,-0.022245862416089834,4.48696102146538,0.44430844553243576,True
llama3_8b,truthfulqa,1,letter11,11,326,0.6564610473546023,0.6464962251621186,0.8940332551438348,0.49554728966753836,0.5236160466491451,-0.028068756981606713,4.48696102146538,0.44430844553243576,True
llama3_8b,truthfulqa,2,letter11,11,326,0.6564610473546023,0.6464962251621186,0.8940332551438348,0.4663650730480416,0.5311563579994476,-0.06479128495140601,4.48696102146538,0.44430844553243576,True
llama3_8b,truthfulqa,0,digits101,101,326,0.6708788829906918,0.49804093636631636,0.4931407336227172,0.4820651053049443,0.3904388850675783,0.091626220237366,28.4472744811115,0.08445532435740515,True
llama3_8b,truthfulqa,1,digits101,101,326,0.6708788829906918,0.49804093636631636,0.4931407336227172,0.49554728966753836,0.40217817623120566,0.0933691134363327,28.4472744811115,0.08445532435740515,True
llama3_8b,truthfulqa,2,digits101,101,326,0.6708788829906918,0.49804093636631636,0.4931407336227172,0.4663650730480416,0.4138473170632978,0.052517755984743786,28.4472744811115,0.08445532435740515,True
llama3_8b,pavlick_nli,0,letter11,11,198,0.5949641902360224,0.5898313304829982,0.9344242428300404,0.16783540850597495,0.2364537007337363,-0.06861829222776136,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,1,letter11,11,198,0.5949641902360224,0.5898313304829982,0.9344242428300404,0.17566735721587878,0.2505726737599988,-0.07490531654412003,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,2,letter11,11,198,0.5949641902360224,0.5898313304829982,0.9344242428300404,0.17369193402576238,0.25408499820947245,-0.08039306418371006,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,0,digits101,101,198,0.9382524152676905,0.907733296915408,0.3009264753441979,0.16783540850597495,0.5904078030597166,-0.4225723945537417,3.0266881841163458,0.4657258064516129,True
llama3_8b,pavlick_nli,1,digits101,101,198,0.9382524152676905,0.907733296915408,0.3009264753441979,0.17566735721587878,0.5007694566311564,-0.32510209941527757,3.0266881841163458,0.4657258064516129,True
llama3_8b,pavlick_nli,2,digits101,101,198,0.9382524152676905,0.907733296915408,0.3009264753441979,0.17369193402576238,0.5609123135107212,-0.38722037948495885,3.0266881841163458,0.4657258064516129,True
