model,dataset,metric,n_test_mean,delta_mean,delta_sd,metric_sq_mean,metric_report_mean,effective_bins,max_bin_mass,measurable,outcome
llama3_8b,pavlick_nli,AURC,198.0,-0.07463889098519715,0.005891905514134161,0.17239823324920536,0.2470371242344025,1.0676162390060882,0.9879032258064516,False,not_measurable
llama3_8b,pavlick_nli,AUROC,198.0,-0.09806118681265463,0.025246378358061525,0.8789343304722589,0.7808731436596043,1.0676162390060882,0.9879032258064516,False,not_measurable
llama3_8b,pavlick_nli,Brier,198.0,-0.10053059657595538,0.011882736061356099,0.14699872066237926,0.2475293172383346,1.0676162390060882,0.9879032258064516,False,not_measurable
llama3_8b,truthfulqa,AURC,326.0,-0.038368634783034185,0.023067159702061312,0.48132582267350804,0.5196944574565423,4.48696102146538,0.44430844553243576,True,does_not_improve
llama3_8b,truthfulqa,AUROC,326.0,-0.03650636128596696,0.026168645394175696,0.6393705054071811,0.6028641441212143,4.48696102146538,0.44430844553243576,True,does_not_improve
llama3_8b,truthfulqa,Brier,326.0,-0.013560736800341264,0.009440209305827039,0.23366927971267457,0.24723001651301582,4.48696102146538,0.44430844553243576,True,does_not_improve
mistral_7b,pavlick_nli,AURC,198.0,-0.056749032227364125,0.02568204634259911,0.10144372347951809,0.1581927557068822,7.388410459230447,0.2560483870967742,True,does_not_improve
mistral_7b,pavlick_nli,AUROC,198.0,-0.19402725359213133,0.08682084748242844,0.71782464733602,0.5237973937438888,7.388410459230447,0.2560483870967742,True,does_not_improve
mistral_7b,pavlick_nli,Brier,198.0,-0.09048887632829243,0.016071566349563696,0.15461114665606002,0.24510002298435243,7.388410459230447,0.2560483870967742,True,does_not_improve
mistral_7b,truthfulqa,AURC,326.0,-0.06412550646864856,0.003847352074668487,0.4016897318933023,0.4658152383619509,4.891409758313021,0.38555691554467564,True,does_not_improve
mistral_7b,truthfulqa,AUROC,326.0,-0.10886906751473564,0.0048671560581108825,0.6927283035586171,0.5838592360438816,4.891409758313021,0.38555691554467564,True,does_not_improve
mistral_7b,truthfulqa,Brier,326.0,-0.020935297961348732,0.006725573926689181,0.22453493072670538,0.24547022868805413,4.891409758313021,0.38555691554467564,True,does_not_improve
qwen2_5_7b,pavlick_nli,AURC,198.0,-0.0065462511564078575,0.01524743429329334,0.050714748518027736,0.0572609996744356,9.626390833994494,0.2842741935483871,True,does_not_improve
qwen2_5_7b,pavlick_nli,AUROC,198.0,-0.017029422244552988,0.062319269099601435,0.8485364604060437,0.8315070381614907,9.626390833994494,0.2842741935483871,True,does_not_improve
qwen2_5_7b,pavlick_nli,Brier,198.0,-0.11054173840012393,0.043665993131365904,0.11688062416155372,0.22742236256167767,9.626390833994494,0.2842741935483871,True,does_not_improve
qwen2_5_7b,truthfulqa,AURC,326.0,0.10883245938377184,0.04598161683717485,0.41423408489788116,0.3054016255141094,11.588393082951912,0.43818849449204406,True,improves
qwen2_5_7b,truthfulqa,AUROC,326.0,0.1702186376232753,0.0341490968247395,0.6306091941817903,0.8008278318050657,11.588393082951912,0.43818849449204406,True,improves
qwen2_5_7b,truthfulqa,Brier,326.0,0.026932403596324667,0.007450252116363779,0.24024732518021885,0.2133149215838942,11.588393082951912,0.43818849449204406,True,improves
